iter	F1	Logloss
0	0.7953567818	0.6877783167
1	0.7953626494	0.6830283221
2	0.7953626494	0.6786321698
3	0.7953626494	0.6746355794
4	0.7953626494	0.6710531634
5	0.7953626494	0.6678001453
6	0.7953626494	0.6649351623
7	0.7953626494	0.6623793382
8	0.7953626494	0.6600573527
9	0.7953626494	0.657848542
10	0.7953626494	0.6559673328
11	0.7953626494	0.6542189458
12	0.7953626494	0.6526123994
13	0.7953626494	0.6511299463
14	0.7953626494	0.6498212425
15	0.7953626494	0.6485694449
16	0.7953626494	0.6474830957
17	0.7953626494	0.6464956428
18	0.7953626494	0.645595015
19	0.7953626494	0.6448095984
20	0.7953626494	0.6439504989
21	0.7953626494	0.6432778479
22	0.7953626494	0.6425889872
23	0.7953626494	0.6420567585
24	0.7953626494	0.6415275918
25	0.7953626494	0.6410523586
26	0.7953626494	0.6405885464
27	0.7953626494	0.6401605435
28	0.7953626494	0.6397608415
29	0.7953626494	0.6393741617
30	0.7953626494	0.6389780005
31	0.7953626494	0.6386510052
32	0.7953626494	0.6383691784
33	0.7953626494	0.637914514
34	0.7953626494	0.6375407079
35	0.7953626494	0.6372549086
36	0.7953626494	0.6369946737
37	0.7953626494	0.6367441724
38	0.7953626494	0.6364974214
39	0.7953626494	0.636157268
40	0.7953626494	0.6359104826
41	0.7953626494	0.6356803032
42	0.7953626494	0.6354102903
43	0.7953626494	0.6351597079
44	0.7953626494	0.6350227288
45	0.7953626494	0.6347193967
46	0.7953626494	0.634550444
47	0.7953626494	0.6343554653
48	0.7953626494	0.6341971999
49	0.7953626494	0.634012479
50	0.7953626494	0.6338951043
51	0.7953626494	0.6337319128
52	0.7953626494	0.633520143
53	0.7953626494	0.6333453197
54	0.7953626494	0.6331714464
55	0.7953626494	0.6330081118
56	0.7953626494	0.6329188803
57	0.7953626494	0.6327799099
58	0.7953626494	0.6326276388
59	0.7953626494	0.6324874521
60	0.7953626494	0.6322634719
61	0.7953626494	0.632111064
62	0.7953626494	0.6319235125
63	0.7953626494	0.6317816663
64	0.7953626494	0.6316586817
65	0.7953626494	0.6314388151
66	0.7953626494	0.631275583
67	0.7953626494	0.6310572094
68	0.7953626494	0.6309686772
69	0.7953626494	0.6308454545
70	0.7953626494	0.6305473929
71	0.7953626494	0.6303487181
72	0.7953626494	0.6301825875
73	0.7953954654	0.6299704271
74	0.7953954654	0.629844972
75	0.7954282842	0.6297115071
76	0.7954282842	0.6295752283
77	0.7954282842	0.6294161459
78	0.7954282842	0.6292603141
79	0.7954282842	0.6291256635
80	0.7954282842	0.6289538546
81	0.7954282842	0.6287082604
82	0.7954611057	0.6285449997
83	0.7954611057	0.6283816943
84	0.7954611057	0.6282722751
85	0.7954611057	0.6281053636
86	0.7954611057	0.6279766164
87	0.7954611057	0.6278417731
88	0.7954939298	0.6277253993
89	0.7954611057	0.6275729781
90	0.7954611057	0.6275197949
91	0.7954611057	0.6274054172
92	0.7954611057	0.6271902148
93	0.7954611057	0.6271006293
94	0.7955595863	0.6269875442
95	0.7955267567	0.6267422436
96	0.7955595863	0.6265612115
97	0.7955595863	0.6264963481
98	0.7956252536	0.6263811449
99	0.7956252536	0.6262219937
100	0.7956252536	0.6261043445
101	0.7956252536	0.6260037607
102	0.7956252536	0.6259224411
103	0.7956252536	0.6257288612
104	0.7956252536	0.6255710905
105	0.7956252536	0.6254895834
106	0.7956909318	0.6253595169
107	0.7957237749	0.6251383991
108	0.7957566208	0.6250393387
109	0.7957566208	0.6248623599
110	0.7957894694	0.6247733638
111	0.7958223207	0.6246446119
112	0.7958223207	0.6245007927
113	0.7958223207	0.6243789552
114	0.7958223207	0.6242630168
115	0.7958551747	0.624136413
116	0.7958551747	0.6240514482
117	0.7958551747	0.623954969
118	0.7958880314	0.6237936789
119	0.7959208908	0.6236262747
120	0.7958880314	0.6235060664
121	0.7958880314	0.623381061
122	0.7959208908	0.6233150875
123	0.7959208908	0.6232456376
124	0.7959866178	0.6230904306
125	0.7959866178	0.6229464669
126	0.7959866178	0.6228880977
127	0.7960194853	0.6228003997
128	0.7959866178	0.6226937483
129	0.7959866178	0.6225473265
130	0.7960194853	0.6223702538
131	0.7960523556	0.6221701913
132	0.7960523556	0.6220309112
133	0.7960523556	0.621942195
134	0.7960523556	0.6217425045
135	0.7960523556	0.6216046492
136	0.7960523556	0.6214858327
