iter	Passed	Remaining
0	4	1410
1	8	1283
2	11	1164
3	15	1117
4	17	1039
5	20	982
6	22	946
7	25	914
8	28	908
9	30	888
10	32	865
11	35	844
12	37	824
13	40	818
14	42	804
15	44	793
16	46	780
17	49	768
18	51	758
19	53	749
20	56	745
21	59	747
22	61	739
23	63	732
24	65	725
25	68	718
26	70	713
27	72	706
28	75	703
29	77	696
30	79	693
31	82	688
32	84	682
33	86	677
34	89	677
35	92	676
36	95	679
37	98	680
38	101	680
39	105	682
40	107	680
41	110	677
42	112	674
43	115	673
44	118	671
45	121	668
46	124	668
47	127	667
48	130	669
49	133	665
50	136	664
51	138	660
52	141	658
53	144	657
54	147	655
55	150	655
56	153	653
57	155	649
58	157	644
59	160	640
60	162	635
61	164	631
62	167	629
63	169	626
64	172	622
65	174	619
66	176	615
67	179	612
68	181	608
69	183	604
70	186	600
71	188	597
72	191	594
73	193	590
74	195	586
75	197	582
76	199	577
77	201	574
78	203	570
79	206	566
80	208	563
81	211	561
82	213	558
83	215	555
84	218	551
85	220	547
86	222	544
87	224	540
88	226	537
89	228	533
90	230	529
91	232	525
92	234	521
93	236	518
94	238	514
95	240	511
96	242	508
97	244	504
98	246	501
99	249	498
100	251	494
101	253	491
102	256	489
103	258	486
104	260	483
105	262	479
106	264	476
107	266	473
108	268	469
109	270	466
110	272	463
111	274	460
112	276	457
113	278	454
114	280	451
115	282	448
116	284	445
117	287	442
118	289	439
119	291	436
120	293	433
121	295	430
122	297	427
123	299	424
124	301	421
125	303	418
126	305	415
127	307	413
128	309	410
129	311	407
130	313	404
131	315	401
132	317	398
133	319	395
134	321	393
135	323	390
136	325	387
137	327	384
138	329	382
139	331	379
140	334	376
141	336	373
142	338	371
143	340	368
144	342	365
145	344	363
146	346	360
147	348	357
148	350	355
149	352	352
150	354	349
151	356	347
152	358	344
153	360	341
154	363	339
155	365	337
156	367	334
157	369	332
158	371	329
159	373	326
160	375	324
161	378	322
162	380	320
163	383	317
164	385	315
165	387	312
166	389	310
167	391	307
168	393	305
169	395	302
170	397	299
171	399	297
172	401	294
173	403	292
174	405	289
175	407	287
176	409	284
177	411	282
178	413	279
179	415	277
180	417	274
181	420	272
182	422	269
183	424	267
184	426	265
185	428	262
186	430	260
187	432	257
188	434	255
189	436	252
190	438	250
191	441	248
192	443	246
193	446	243
194	448	241
195	450	239
196	452	236
197	455	234
198	457	232
199	459	229
200	461	227
201	463	224
202	465	222
203	468	220
204	470	217
205	472	215
206	474	213
207	476	210
208	478	208
209	480	206
210	482	203
211	485	201
212	487	198
213	489	196
214	491	194
215	493	191
216	495	189
217	497	187
218	499	184
219	501	182
220	504	180
221	506	177
222	508	175
223	510	173
224	512	170
225	514	168
226	516	166
227	518	163
228	521	161
229	524	159
230	526	157
231	528	154
232	530	152
233	532	150
234	534	147
235	536	145
236	539	143
237	541	140
238	543	138
239	545	136
240	547	134
241	549	131
242	551	129
243	553	127
244	556	124
245	558	122
246	560	120
247	562	118
248	564	115
249	566	113
250	569	111
251	571	108
252	573	106
253	575	104
254	577	101
255	579	99
256	582	97
257	584	95
258	586	92
259	588	90
260	590	88
261	593	86
262	595	83
263	597	81
264	599	79
265	601	76
266	604	74
267	606	72
268	608	70
269	611	67
270	613	65
271	616	63
272	618	61
273	621	58
274	623	56
275	625	54
276	628	52
277	630	49
278	632	47
279	634	45
280	637	43
281	639	40
282	642	38
283	645	36
284	647	34
285	649	31
286	651	29
287	654	27
288	656	24
289	658	22
290	660	20
291	662	18
292	664	15
293	666	13
294	669	11
295	671	9
296	673	6
297	675	4
298	677	2
299	679	0
